datetime,state,country
1965-01-01,AR,us
1965-01-01,IA,us
1965-02-01,IN,us
1965-02-15,IL,us
1965-02-16,LA,us
1965-03-15,GA,us
1965-03-15,ME,us
1965-04-01,TX,us
1965-04-01,PA,us
1965-04-14,FL,us
1965-04-15,FL,us
1965-04-20,FL,us
1965-04-28,PA,us
1965-05-01,WY,us
1965-05-01,PA,us
1965-05-05,MO,us
1965-05-05,AR,us
1965-05-12,NY,us
1965-05-15,WA,us
1965-05-15,AL,us
1965-05-15,CA,us
1965-05-31,CA,us
1965-06-01,OK,us
1965-06-01,MO,us
1965-06-01,NM,us
1965-06-01,NH,us
1965-06-01,WI,us
1965-06-01,CA,us
1965-06-01,KY,us
1965-06-01,OH,us
1965-06-01,NH,us
1965-06-01,FL,us
1965-06-01,NY,us
1965-06-01,CA,us
1965-06-01,OH,us
1965-06-01,PR,us
1965-06-06,GA,us
1965-06-08,VA,us
1965-06-15,CA,us
1965-06-15,NE,us
1965-06-15,GA,us
1965-06-15,PA,us
1965-06-15,MI,us
1965-06-15,TX,us
1965-06-15,OK,us
1965-06-15,FL,us
1965-06-15,WV,us
1965-06-15,MA,us
1965-06-15,CA,us
1965-06-15,PA,us
1965-06-15,KS,us
1965-06-20,NM,us
1965-06-25,OR,us
1965-06-25,PA,us
1965-06-30,WA,us
1965-06-30,FL,us
1965-06-30,AL,us
1965-06-30,CA,us
1965-06-30,FL,us
1965-06-30,AR,us
1965-06-30,VA,us
1965-06-30,NY,us
1965-06-30,NY,us
1965-06-30,CA,us
1965-07-01,NJ,us
1965-07-01,MO,us
1965-07-01,LA,us
1965-07-02,RI,us
1965-07-04,FL,us
1965-07-06,MI,us
1965-07-07,MA,us
1965-07-07,IL,us
1965-07-10,CA,us
1965-07-12,NC,us
1965-07-12,CA,us
1965-07-15,CA,us
1965-07-15,MI,us
1965-07-15,TX,us
1965-07-15,WV,us
1965-07-15,NY,us
1965-07-15,IA,us
1965-07-15,WI,us
1965-07-15,KY,us
1965-07-15,OH,us
1965-07-15,OH,us
1965-07-20,VA,us
1965-07-20,PA,us
1965-07-20,CA,us
1965-07-20,OR,us
1965-07-24,MI,us
1965-07-25,CA,us
1965-07-27,OH,us
1965-07-30,CT,us
1965-07-31,WI,us
1965-08-01,NC,us
1965-08-01,NE,us
1965-08-01,MO,us
1965-08-01,IL,us
1965-08-01,TX,us
1965-08-02,PA,us
1965-08-06,TX,us
1965-08-07,MA,us
1965-08-08,NM,us
1965-08-08,MN,us
1965-08-10,NH,us
1965-08-11,CA,us
1965-08-12,VA,us
1965-08-12,MT,us
1965-08-15,OK,us
1965-08-15,IL,us
1965-08-15,NY,us
1965-08-15,OR,us
1965-08-15,OH,us
1965-08-15,MI,us
1965-08-15,IN,us
1965-08-15,TX,us
1965-08-15,IN,us
1965-08-15,IN,us
1965-08-20,SC,us
1965-08-20,NY,us
1965-08-20,NY,us
1965-08-20,MA,us
1965-09-01,MO,us
1965-09-05,NJ,us
1965-09-10,PA,us
1965-09-15,IN,us
1965-09-15,PA,us
1965-09-15,OR,us
1965-09-15,KS,us
1965-09-23,WA,us
1965-09-27,ME,us
1965-10-01,MS,us
1965-10-01,VA,us
1965-10-01,PA,us
1965-10-02,PA,us
1965-10-07,CA,us
1965-10-10,CT,us
1965-10-12,PA,us
1965-10-12,PA,us
1965-10-15,NY,us
1965-10-15,IA,us
1965-10-16,MA,us
1965-10-17,CA,us
1965-10-17,CA,us
1965-10-24,MA,us
1965-11-01,MA,us
1965-11-05,FL,us
1965-11-09,CT,us
1965-11-09,NY,us
1965-11-15,NY,us
1965-11-15,NY,us
1965-11-23,OK,us
1965-12-01,NY,us
1965-12-09,PA,us
1965-12-09,WA,us
1965-12-09,NJ,us
1965-12-09,CT,us
1965-12-09,CT,us
1965-12-09,CT,us
1965-12-09,CT,us
1965-12-09,CT,us
1965-12-10,TX,us
1965-12-12,SC,us
1965-12-22,TX,us
1965-12-24,PA,us
1966-01-01,AZ,us
1966-02-01,OH,us
1966-02-10,OH,us
1966-02-13,CA,us
1966-03-14,MI,us
1966-03-15,MD,us
1966-03-15,MI,us
1966-03-16,CT,us
1966-03-16,NJ,us
1966-03-21,MI,us
1966-03-24,TX,us
1966-03-26,WA,us
1966-03-29,IL,us
1966-03-31,MI,us
1966-03-31,MI,us
1966-04-01,MO,us
1966-04-01,MA,us
1966-04-01,TX,us
1966-04-14,NY,us
1966-04-15,SD,us
1966-04-15,MA,us
1966-04-17,OH,us
1966-04-25,PA,us
1966-05-01,WA,us
1966-05-01,NE,us
1966-05-01,IN,us
1966-05-05,MD,us
1966-05-11,OH,us
1966-05-15,HI,us
1966-05-15,AL,us
1966-05-19,KY,us
1966-05-20,MI,us
1966-06-01,NY,us
1966-06-01,MO,us
1966-06-01,WA,us
1966-06-01,IL,us
1966-06-01,PA,us
1966-06-01,MI,us
1966-06-01,CA,us
1966-06-01,TX,us
1966-06-01,TX,us
1966-06-01,OH,us
1966-06-01,MO,us
1966-06-01,NY,us
1966-06-01,MI,us
1966-06-01,MD,us
1966-06-01,PA,us
1966-06-01,PA,us
1966-06-01,MT,us
1966-06-10,NC,us
1966-06-10,NC,us
1966-06-11,MI,us
1966-06-12,CA,us
1966-06-12,MI,us
1966-06-15,WI,us
1966-06-15,OH,us
1966-06-15,OR,us
1966-06-15,OR,us
1966-06-15,PA,us
1966-06-15,PA,us
1966-06-15,OH,us
1966-06-15,AZ,us
1966-06-15,PA,us
1966-06-15,IA,us
1966-06-18,MN,us
1966-06-18,CT,us
1966-06-20,OH,us
1966-06-20,IN,us
1966-06-21,OK,us
1966-06-25,SD,us
1966-06-25,SD,us
1966-06-30,PA,us
1966-06-30,CA,us
1966-06-30,NY,us
1966-06-30,IN,us
1966-06-30,CA,us
1966-06-30,AR,us
1966-06-30,CA,us
1966-06-30,PA,us
1966-06-30,CA,us
1966-06-30,IL,us
1966-06-30,SC,us
1966-06-30,NM,us
1966-06-30,CA,us
1966-06-30,NC,us
1966-07-01,DE,us
1966-07-01,PA,us
1966-07-01,MD,us
1966-07-01,PA,us
1966-07-01,WV,us
1966-07-01,MA,us
1966-07-01,TX,us
1966-07-04,ME,us
1966-07-04,CA,us
1966-07-06,FL,us
1966-07-09,KY,us
1966-07-15,MA,us
1966-07-15,TX,us
1966-07-15,CA,us
1966-07-15,IA,us
1966-07-15,NY,us
1966-07-15,CA,us
1966-07-17,IL,us
1966-07-31,OH,us
1966-07-31,MI,us
1966-08-01,OH,us
1966-08-01,MI,us
1966-08-06,CA,us
1966-08-10,MT,us
1966-08-12,IL,us
1966-08-14,WA,us
1966-08-15,NY,us
1966-08-15,NY,us
1966-08-15,IL,us
1966-08-15,WA,us
1966-08-17,ME,us
1966-08-17,OH,us
1966-08-18,CA,us
1966-08-20,IN,us
1966-08-22,WA,us
1966-08-28,IN,us
1966-08-30,NY,us
1966-09-01,NY,us
1966-09-05,CA,us
1966-09-05,NE,us
1966-09-06,WA,us
1966-09-08,WV,us
1966-09-15,IN,us
1966-09-15,TX,us
1966-09-15,AK,us
1966-09-15,CA,us
1966-09-15,OH,us
1966-09-15,WV,us
1966-09-16,IL,us
1966-09-20,CT,us
1966-09-25,CA,us
1966-09-27,VA,us
1966-09-27,IA,us
1966-09-28,RI,us
1966-09-30,WV,us
1966-10-01,NY,us
1966-10-01,WA,us
1966-10-01,IA,us
1966-10-01,OR,us
1966-10-10,AL,us
1966-10-10,FL,us
1966-10-13,TX,us
1966-10-15,FL,us
1966-10-15,IN,us
1966-10-15,CA,us
1966-10-15,OR,us
1966-10-15,NY,us
1966-10-20,NM,us
1966-10-21,NM,us
1966-10-30,MS,us
1966-11-11,WA,us
1966-11-11,NY,us
1966-11-14,TX,us
1966-11-15,CA,us
1966-11-15,NC,us
1966-12-15,IA,us
1966-12-15,PA,us
1966-12-15,PA,us
1966-12-19,OR,us
1966-12-25,IL,us
1966-12-28,IN,us
1967-02-01,TN,us
1967-02-02,OR,us
1967-02-13,NY,us
1967-02-15,MA,us
1967-02-20,CT,us
1967-03-01,CA,us
1967-03-02,KY,us
1967-03-03,LA,us
1967-03-15,TX,us
1967-03-15,OH,us
1967-03-16,IL,us
1967-04-01,GA,us
1967-04-01,NV,us
1967-04-01,FL,us
1967-04-01,FL,us
1967-04-04,GA,us
1967-04-07,FL,us
1967-04-11,TN,us
1967-04-14,NY,us
1967-04-15,TX,us
1967-04-15,CA,us
1967-04-21,CT,us
1967-04-22,NY,us
1967-04-25,FL,us
1967-05-01,OK,us
1967-05-01,TN,us
1967-05-10,NV,us
1967-05-15,WA,us
1967-05-15,FL,us
1967-05-15,CA,us
1967-05-15,CA,us
1967-05-15,LA,us
1967-05-29,TX,us
1967-06-01,SC,us
1967-06-01,MN,us
1967-06-01,CA,us
1967-06-01,CA,us
1967-06-01,IA,us
1967-06-01,AL,us
1967-06-01,OR,us
1967-06-01,OH,us
1967-06-01,WA,us
1967-06-01,NY,us
1967-06-01,MO,us
1967-06-01,CA,us
1967-06-01,PA,us
1967-06-01,CA,us
1967-06-01,ID,us
1967-06-04,AL,us
1967-06-05,WA,us
1967-06-06,IA,us
1967-06-10,TX,us
1967-06-12,OK,us
1967-06-14,GA,us
1967-06-15,WA,us
1967-06-15,MI,us
1967-06-15,CA,us
1967-06-15,NJ,us
1967-06-15,NY,us
1967-06-15,TN,us
1967-06-15,CA,us
1967-06-15,UT,us
1967-06-15,GA,us
1967-06-20,CA,us
1967-06-23,ID,us
1967-06-27,AZ,us
1967-06-30,KS,us
1967-06-30,WY,us
1967-06-30,OH,us
1967-06-30,CA,us
1967-06-30,MN,us
1967-06-30,LA,us
1967-06-30,KS,us
1967-06-30,SC,us
1967-06-30,IL,us
1967-06-30,AL,us
1967-07-01,MN,us
1967-07-01,TX,us
1967-07-01,NJ,us
1967-07-01,CO,us
1967-07-15,WI,us
1967-07-15,PA,us
1967-07-15,PA,us
1967-07-15,CA,us
1967-07-16,WV,us
1967-07-16,TX,us
1967-07-20,FL,us
1967-07-31,NY,us
1967-07-31,OH,us
1967-08-01,WI,us
1967-08-01,NY,us
1967-08-01,NY,us
1967-08-01,OR,us
1967-08-01,NY,us
1967-08-01,WI,us
1967-08-08,KY,us
1967-08-08,NY,us
1967-08-08,CO,us
1967-08-11,AR,us
1967-08-12,IL,us
1967-08-15,NM,us
1967-08-15,MA,us
1967-08-15,WA,us
1967-08-15,NY,us
1967-08-15,CA,us
1967-08-16,NJ,us
1967-08-20,MA,us
1967-08-20,IN,us
1967-08-22,PA,us
1967-08-25,ID,us
1967-08-25,CA,us
