Date,Open,High,Low,Close,Adj Close,Volume
2018-09-10,61.900002,62.720001,61.630001,62.509998,61.250786,3674800
2018-09-11,62.310001,63.250000,62.279999,62.980000,61.711319,3074100
2018-09-12,62.950001,63.000000,61.250000,61.369999,60.133751,5364300
2018-09-13,61.549999,62.840000,61.520000,62.360001,61.103809,3968500
2018-09-14,62.220001,62.560001,62.029999,62.430000,61.172398,2936400
2018-09-17,62.669998,63.459999,62.610001,63.099998,61.828899,3644700
2018-09-18,63.000000,63.230000,62.110001,63.049999,61.779903,2768700
2018-09-19,63.150002,63.880001,63.020000,63.110001,61.838703,2756800
2018-09-20,63.380001,63.630001,62.419998,62.500000,61.240990,4311100
2018-09-21,62.689999,64.019997,62.669998,63.770000,62.485409,7797700
2018-09-24,63.340000,63.389999,61.650002,62.060001,60.809849,4522100
2018-09-25,62.000000,62.340000,61.119999,61.650002,60.408112,3864000
2018-09-26,61.930000,62.369999,61.820000,62.090000,60.839249,2391400
2018-09-27,62.500000,63.160000,62.439999,62.709999,61.446758,4007900
2018-09-28,62.450001,63.009998,61.919998,62.450001,61.191994,3018000
2018-10-01,62.610001,63.200001,61.540001,61.700001,60.457108,4257000
2018-10-02,61.480000,61.830002,60.590000,61.180000,59.947575,4041300
2018-10-03,61.380001,62.000000,61.259998,61.680000,60.437508,4420700
2018-10-04,61.669998,61.970001,61.220001,61.580002,60.339520,2474800
2018-10-05,61.680000,61.869999,60.669998,61.049999,59.820198,3998200
2018-10-08,60.900002,61.070000,60.160000,60.619999,59.398853,3690700
2018-10-09,60.650002,60.720001,59.470001,59.490002,58.291622,7852400
2018-10-10,59.360001,59.380001,56.880001,57.330002,56.175137,7945400
2018-10-11,57.919998,58.750000,56.430000,57.029999,55.881176,7140800
2018-10-12,57.939999,58.230000,56.720001,57.380001,56.224129,4014100
2018-10-15,57.220001,58.189999,57.180000,57.680000,56.518078,3324800
2018-10-16,57.799999,59.139999,57.509998,58.939999,57.752705,4119800
2018-10-17,60.450001,60.860001,58.650002,59.200001,58.007462,4664100
2018-10-18,59.160000,59.160000,57.770000,57.959999,56.792442,3570600
2018-10-19,58.169998,58.439999,57.689999,58.130001,56.959023,3757200
2018-10-22,58.139999,58.529999,57.160000,57.869999,56.704258,4373000
2018-10-23,57.220001,57.520000,55.959999,57.480000,56.322117,4253300
2018-10-24,57.759998,57.790001,54.360001,54.590000,53.490330,6127800
2018-10-25,50.970001,51.700001,49.020000,49.910000,48.904602,21643400
2018-10-26,49.900002,50.180000,48.330002,49.580002,48.581257,10057900
2018-10-29,49.930000,50.180000,47.099998,47.910000,46.944897,11202300
2018-10-30,47.360001,49.180000,47.250000,49.150002,48.159916,8954900
2018-10-31,49.340000,50.119999,49.049999,49.099998,48.110924,7568000
2018-11-01,49.299999,51.040001,49.299999,50.950001,49.923656,6778600
2018-11-02,51.000000,52.549999,51.000000,51.820000,50.776131,8458000
2018-11-05,51.669998,51.779999,51.060001,51.419998,50.384182,6203800
2018-11-06,51.450001,52.450001,51.250000,51.860001,50.815323,8061200
2018-11-07,52.099998,53.310001,51.950001,52.880001,51.814774,4862500
2018-11-08,52.700001,53.029999,52.340000,52.720001,51.658001,4634300
2018-11-09,52.779999,53.509998,52.119999,52.490002,51.432632,4229900
2018-11-12,52.400002,52.720001,51.540001,51.889999,50.844715,3946800
2018-11-13,52.099998,53.070000,52.090000,52.730000,51.667797,6528700
2018-11-14,52.759998,53.439999,52.250000,52.480000,51.422829,4346600
2018-11-15,52.000000,53.500000,51.730000,53.230000,52.157726,5051700
2018-11-16,52.849998,52.990002,51.680000,52.580002,51.520828,4770200
2018-11-19,52.750000,52.840000,52.080002,52.389999,51.334641,3019300
2018-11-20,51.840000,52.369999,51.330002,51.570000,50.531162,3373500
2018-11-21,51.799999,53.209999,51.740002,52.250000,51.197464,2952800
2018-11-23,52.720001,53.220001,52.160000,52.680000,51.618805,2216600
2018-11-26,53.049999,53.480000,52.470001,52.759998,51.697193,4319700
2018-11-27,53.080002,53.970001,52.689999,52.790001,51.726589,6216900
2018-11-28,53.049999,53.080002,52.169998,53.080002,52.010754,3813600
2018-11-29,52.820000,53.570000,52.820000,53.230000,52.157726,2929000
2018-11-30,53.430000,54.660000,53.299999,54.610001,53.509922,4546900
2018-12-03,54.900002,55.680000,54.230000,54.369999,53.274761,4041500
2018-12-04,53.619999,54.169998,52.130001,52.799999,51.889084,5877100
2018-12-06,52.570000,53.849998,52.259998,53.599998,52.675289,7603500
2018-12-07,53.230000,53.389999,51.139999,51.360001,50.473930,6238300
2018-12-10,51.540001,51.799999,50.189999,51.139999,50.257721,5006300
2018-12-11,51.580002,51.610001,50.680000,51.080002,50.198761,2970900
2018-12-12,51.480000,51.500000,50.549999,50.900002,50.021866,4137800
2018-12-13,50.880001,51.000000,49.360001,50.340000,49.471523,6866700
2018-12-14,49.619999,51.080002,49.580002,50.090000,49.225838,3998700
2018-12-17,49.840000,50.110001,48.529999,49.389999,48.537914,5814200
2018-12-18,49.889999,50.150002,49.349998,49.599998,48.744293,3560600
2018-12-19,49.369999,49.980000,48.349998,48.779999,47.938438,4350600
2018-12-20,48.520000,48.880001,46.410000,47.070000,46.257946,4759300
2018-12-21,47.070000,47.810001,45.770000,45.950001,45.157265,8357700
2018-12-24,45.560001,45.689999,44.349998,44.400002,43.634007,3782200
2018-12-26,44.750000,46.759998,44.279999,46.720001,45.913979,3929200
2018-12-27,46.270000,46.820000,45.110001,46.799999,45.992599,3281200
2018-12-28,47.000000,47.500000,46.590000,46.759998,45.953285,3135700
2018-12-31,46.939999,47.139999,46.060001,46.480000,45.678123,3805100
2019-01-02,46.049999,47.200001,45.470001,47.139999,46.326736,4081300
2019-01-03,46.480000,46.570000,44.610001,45.610001,44.823132,4404900
2019-01-04,45.990002,48.060001,45.990002,47.860001,47.034313,4762100
2019-01-07,47.840000,48.259998,47.169998,47.869999,47.044140,5194700
2019-01-08,48.500000,48.590000,47.209999,47.540001,46.719833,4462600
2019-01-09,47.630001,49.270000,47.570000,49.080002,48.233269,3489400
2019-01-10,47.490002,49.029999,46.900002,48.990002,48.144814,5424800
2019-01-11,48.650002,48.860001,47.849998,48.520000,47.682926,3568900
2019-01-14,48.180000,49.290001,47.700001,48.759998,47.918785,3908800
2019-01-15,49.009998,50.020000,48.860001,49.610001,48.754124,4408900
2019-01-16,50.360001,50.730000,49.750000,49.779999,48.921185,4640300
2019-01-17,49.740002,50.930000,49.619999,50.590000,49.717213,3483100
2019-01-18,50.910000,51.580002,50.599998,51.570000,50.680305,3236200
2019-01-22,51.250000,51.540001,50.240002,50.540001,49.668079,4153900
2019-01-23,50.880001,51.310001,50.060001,51.020000,50.139797,4721300
2019-01-24,53.750000,54.869999,52.720001,54.209999,53.274757,11000800
2019-01-25,55.000000,55.689999,54.049999,54.980000,54.031479,7351800
2019-01-28,54.889999,55.959999,54.889999,55.520000,54.562157,5073200
2019-01-29,55.650002,56.540001,55.380001,56.369999,55.397491,5231900
2019-01-30,56.660000,57.820000,56.580002,57.490002,56.498177,6768600
2019-01-31,57.490002,57.639999,56.410000,56.759998,55.780762,4658800
2019-02-01,56.990002,58.000000,56.910000,57.130001,56.144382,3610400
2019-02-04,57.200001,58.310001,57.150002,58.290001,57.284374,4426900
2019-02-05,58.500000,58.770000,57.529999,57.880001,56.881447,5130900
2019-02-06,57.549999,57.720001,56.639999,57.610001,56.616100,5305600
2019-02-07,57.169998,57.669998,57.119999,57.480000,56.488350,3130500
2019-02-08,56.970001,57.650002,56.810001,57.650002,56.655415,3151400
2019-02-11,58.070000,58.439999,57.599998,58.279999,57.274544,4081700
2019-02-12,58.279999,58.740002,57.509998,57.700001,56.704552,3612800
2019-02-13,57.970001,58.570000,57.810001,58.000000,56.999371,3969200
2019-02-14,57.610001,58.490002,57.150002,58.000000,56.999371,5013400
2019-02-15,58.500000,58.599998,57.639999,57.700001,56.704552,4992000
2019-02-19,57.349998,58.160000,56.660000,57.669998,56.675068,5656300
2019-02-20,55.040001,55.389999,54.180000,54.410000,53.471310,11873100
2019-02-21,54.200001,54.750000,54.049999,54.310001,53.373039,4916600
2019-02-22,54.130001,54.389999,53.470001,53.619999,52.694939,4569600
2019-02-25,53.910000,54.200001,53.599998,53.959999,53.029076,5650600
2019-02-26,53.959999,54.630001,53.669998,53.689999,52.763729,5806600
2019-02-27,53.490002,54.200001,53.310001,53.849998,52.920975,5569200
2019-02-28,53.889999,56.959999,53.680000,56.040001,55.073193,15308200
2019-03-01,56.279999,56.580002,54.049999,54.340000,53.402519,9041400
2019-03-04,54.220001,54.560001,53.259998,53.830002,52.901318,4526200
2019-03-05,54.000000,54.400002,53.320000,53.389999,52.625324,5211600
2019-03-06,53.500000,53.779999,52.759998,53.060001,52.300056,5114900
2019-03-07,52.830002,53.180000,51.959999,52.430000,51.679077,5552200
2019-03-08,52.009998,52.009998,51.320000,51.770000,51.028530,4648100
2019-03-11,49.900002,51.639999,49.820000,51.610001,50.870819,6185700
2019-03-12,51.380001,51.430000,49.910000,50.400002,49.678150,8767000
2019-03-13,50.889999,51.779999,48.580002,50.610001,49.885143,12543800
